customer_id,age_category,income_category,loan_amount_category,loan_period_category,payment_failure_history,credit_rating,late_payment_last_month,inflation_rate,loan_interest_rate
1,2,2,3,3,0,5,1,1.95%,5.50%
2,2,3,3,2,1,2,1,1.95%,5.50%
3,2,3,2,3,0,5,1,1.95%,5.50%
4,1,2,2,2,0,3,1,1.95%,5.50%
5,3,3,3,2,1,1,0,1.95%,5.50%
6,2,3,3,2,0,4,1,1.95%,5.50%
7,3,3,2,3,0,5,1,1.95%,5.50%
8,3,3,3,2,0,4,1,1.95%,5.50%
9,2,3,3,2,0,3,1,1.95%,5.50%
10,4,2,2,3,1,2,1,1.95%,5.50%
11,2,2,2,3,0,1,0,1.95%,5.50%
12,4,3,3,3,1,1,0,1.95%,5.50%
13,3,2,2,3,1,4,1,1.95%,5.50%
14,3,3,1,2,1,5,1,1.95%,5.50%
15,3,3,3,2,0,4,1,1.95%,5.50%
16,2,3,2,3,0,3,1,1.95%,5.50%
17,1,2,2,3,0,5,1,1.95%,5.50%
18,1,3,3,3,0,2,1,1.95%,5.50%
19,3,3,2,2,1,2,1,1.95%,5.50%
20,1,3,3,3,0,2,1,1.95%,5.50%
21,3,3,3,3,0,2,1,1.95%,5.50%
22,1,1,2,3,0,1,0,1.95%,5.50%
23,4,3,3,3,0,3,1,1.95%,5.50%
24,3,3,2,2,0,1,0,1.95%,5.50%
25,3,3,2,1,0,1,0,1.95%,5.50%
26,2,2,1,3,1,3,1,1.95%,5.50%
27,3,1,3,2,1,3,1,1.95%,5.50%
28,2,3,2,2,0,3,1,1.95%,5.50%
29,1,2,3,3,0,1,0,1.95%,5.50%
30,3,3,2,2,1,3,1,1.95%,5.50%
31,3,3,2,3,0,5,1,1.95%,5.50%
32,1,3,3,3,0,3,1,1.95%,5.50%
33,2,1,2,3,1,5,1,1.95%,5.50%
34,1,3,3,3,0,3,1,1.95%,5.50%
35,3,3,2,2,0,4,1,1.95%,5.50%
36,3,3,3,3,0,3,1,1.95%,5.50%
37,3,3,3,2,0,5,1,1.95%,5.50%
38,3,3,2,2,0,1,0,1.95%,5.50%
39,3,2,2,3,0,2,1,1.95%,5.50%
40,2,2,3,2,1,1,0,1.95%,5.50%
41,1,3,3,3,0,4,1,1.95%,5.50%
42,1,3,3,2,0,4,1,1.95%,5.50%
43,3,3,2,3,1,1,0,1.95%,5.50%
44,3,2,3,3,0,3,1,1.95%,5.50%
45,1,2,3,1,1,3,1,1.95%,5.50%
46,2,3,2,2,0,2,1,1.95%,5.50%
47,2,3,2,3,1,1,0,1.95%,5.50%
48,3,3,3,2,0,4,1,1.95%,5.50%
49,3,2,3,2,0,1,0,1.95%,5.50%
50,2,3,2,3,0,5,1,1.95%,5.50%
51,2,3,3,3,0,2,1,1.95%,5.50%
52,1,2,3,3,0,2,1,1.95%,5.50%
53,3,3,3,2,0,2,1,1.95%,5.50%
54,3,2,2,3,1,5,1,1.95%,5.50%
55,3,3,3,3,1,3,1,1.95%,5.50%
56,3,3,3,3,1,1,0,1.95%,5.50%
57,2,3,3,2,0,3,1,1.95%,5.50%
58,3,2,3,2,0,1,0,1.95%,5.50%
59,1,2,3,3,0,5,1,1.95%,5.50%
60,3,3,3,2,0,5,1,1.95%,5.50%
61,3,2,3,2,0,2,1,1.95%,5.50%
62,1,3,2,2,1,1,0,1.95%,5.50%
63,1,2,3,3,0,5,1,1.95%,5.50%
64,1,3,3,2,0,1,0,1.95%,5.50%
65,2,1,2,3,0,4,1,1.95%,5.50%
66,3,1,3,2,1,5,1,1.95%,5.50%
67,3,3,3,3,0,2,1,1.95%,5.50%
68,2,3,2,3,1,4,1,1.95%,5.50%
69,2,3,3,3,0,2,1,1.95%,5.50%
70,3,2,1,2,0,3,1,1.95%,5.50%
71,3,3,3,2,0,4,1,1.95%,5.50%
72,1,3,2,2,1,2,1,1.95%,5.50%
73,2,3,3,3,1,5,1,1.95%,5.50%
74,2,2,3,3,1,3,1,1.95%,5.50%
75,2,1,2,2,0,4,1,1.95%,5.50%
76,3,3,2,2,0,5,1,1.95%,5.50%
77,4,3,3,2,0,1,0,1.95%,5.50%
78,2,2,2,2,1,3,1,1.95%,5.50%
79,3,3,3,2,0,5,1,1.95%,5.50%
80,3,2,3,2,0,1,0,1.95%,5.50%
81,3,3,3,2,0,1,0,1.95%,5.50%
82,1,3,2,3,0,5,1,1.95%,5.50%
83,3,3,2,2,0,4,1,1.95%,5.50%
84,2,3,2,2,0,2,1,1.95%,5.50%
85,3,1,2,2,0,1,0,1.95%,5.50%
86,3,3,2,2,0,3,1,1.95%,5.50%
87,2,2,2,3,0,3,1,1.95%,5.50%
88,3,1,2,3,0,3,1,1.95%,5.50%
89,3,2,3,3,1,1,0,1.95%,5.50%
90,3,3,3,2,1,3,1,1.95%,5.50%
91,3,2,3,2,0,4,1,1.95%,5.50%
92,2,2,2,3,1,3,1,1.95%,5.50%
93,2,2,2,1,0,4,1,1.95%,5.50%
94,3,3,2,1,0,3,1,1.95%,5.50%
95,1,3,3,3,0,3,1,1.95%,5.50%
96,3,3,3,2,0,4,1,1.95%,5.50%
97,3,3,2,2,0,4,1,1.95%,5.50%
98,3,2,3,3,0,4,1,1.95%,5.50%
99,2,3,2,3,0,2,1,1.95%,5.50%
100,3,3,3,3,0,4,1,1.95%,5.50%
101,3,1,3,3,0,4,1,1.95%,5.50%
102,1,2,2,3,0,3,1,1.95%,5.50%
103,4,2,2,2,0,2,1,1.95%,5.50%
